session_id,frame_idx,timestamp,dist_raw,dist_norm,velocity,accel,hand_conf,label
replay1,268,9.2975,152.3383,0.597995,0.001869,0.00973,0.9932,0
replay1,269,9.3298,151.4818,0.600917,0.002922,0.001053,0.9939,0
replay1,270,9.3655,154.3161,0.601847,0.000931,-0.001991,0.9935,0
replay1,271,9.397,149.5704,0.583461,-0.018386,-0.019317,0.994,0
replay1,272,9.4307,149.1086,0.58743,0.003969,0.022355,0.9934,0
replay1,273,9.4652,151.5193,0.587207,-0.000223,-0.004192,0.9931,0
replay1,274,9.4969,150.8634,0.591787,0.00458,0.004803,0.9934,0
replay1,275,9.5297,150.3837,0.588786,-0.003,-0.00758,0.9933,0
replay1,276,9.5636,151.2737,0.58692,-0.001867,0.001134,0.9936,0
replay1,277,9.5877,151.1437,0.5889,0.00198,0.003847,0.9943,1
replay1,278,9.6307,156.5992,0.611375,0.022476,0.020496,0.9939,1
replay1,279,9.664,156.0053,0.611049,-0.000326,-0.022802,0.9935,1
replay1,280,9.6986,162.2183,0.638123,0.027074,0.0274,0.994,1
replay1,281,9.73,155.6728,0.616981,-0.021141,-0.048215,0.9941,1
replay1,282,9.7638,144.3911,0.57929,-0.037691,-0.01655,0.9954,1
replay1,283,9.7991,79.958,0.299824,-0.279466,-0.241775,0.9976,1
replay1,284,9.8308,17.6789,0.072316,-0.227509,0.051958,0.9956,1
replay1,285,9.8631,9.4351,0.037895,-0.03442,0.193088,0.996,1
replay1,286,9.8976,6.4957,0.024809,-0.013087,0.021333,0.9963,1
replay1,287,9.9305,9.256,0.035228,0.010419,0.023506,0.9962,1
replay1,288,9.9654,20.2518,0.07371,0.038482,0.028063,0.9965,1
replay1,289,9.9966,89.0092,0.327886,0.254176,0.215694,0.9971,1
replay1,290,10.0288,115.0246,0.441172,0.113285,-0.140891,0.9962,1
replay1,291,10.0624,129.8772,0.493894,0.052723,-0.060562,0.9948,1
replay1,292,10.0988,133.8212,0.524352,0.030458,-0.022265,0.9951,1
replay1,293,10.1301,133.5987,0.528505,0.004152,-0.026306,0.9942,1
replay1,294,10.1637,133.1055,0.525107,-0.003398,-0.00755,0.9944,1
replay1,295,10.1994,132.0378,0.523809,-0.001298,0.002099,0.9952,1
replay1,296,10.2305,132.3006,0.519112,-0.004696,-0.003398,0.9955,1
replay1,297,10.2526,132.2725,0.518264,-0.000848,0.003848,0.9954,0
replay1,298,10.2975,131.3426,0.515639,-0.002626,-0.001778,0.9952,0
replay1,299,10.3324,135.658,0.53052,0.014882,0.017508,0.9956,0
replay1,300,10.3636,134.7762,0.534489,0.003969,-0.010913,0.9951,0
replay1,301,10.3965,129.0733,0.508818,-0.025671,-0.029639,0.9957,0
replay1,302,10.4304,129.5209,0.502518,-0.0063,0.019371,0.9954,0
replay1,303,10.4673,128.6146,0.496342,-0.006176,0.000124,0.9949,0
replay1,304,10.4973,129.4863,0.497,0.000658,0.006834,0.9954,0
replay1,305,10.5299,127.1757,0.492063,-0.004937,-0.005595,0.9949,0
replay1,306,10.5638,129.0428,0.504017,0.011953,0.01689,0.9954,0
replay1,307,10.5985,125.5516,0.488613,-0.015403,-0.027357,0.9949,0
replay1,308,10.6411,132.2718,0.515078,0.026465,0.041868,0.9954,0
replay1,309,10.698,132.5185,0.515713,0.000635,-0.02583,0.9945,0
replay1,310,10.731,130.905,0.513041,-0.002671,-0.003306,0.9946,0
